Số_Giờ_Học_Tuần,Số_Môn_Đang_Học,Làm_Thêm,Thời_Gian_Ngủ,Tham_Gia_CLB,Điểm_Danh_%,Hình_Thức_Học,Thời_Gian_Mạng_Xã_Hội,GPA
19,4,Có,6,Không,77,Tự học,1,2.8507300301830045
5,3,Có,6,Không,96,Tự học,2,2.4556797481171873
29,6,Có,8,Có,57,Học nhóm,4,2.682555552698032
11,4,Có,8,Có,83,Tự học,4,2.455525908727396
13,5,Có,5,Có,84,Tự học,5,2.3403891771614598
28,6,Có,7,Không,81,Học nhóm,5,3.1665280154431166
5,7,Không,5,Không,73,Tự học,4,1.7938566839782837
12,3,Không,8,Không,63,Học nhóm,4,1.975727038063218
28,7,Có,9,Không,81,Tự học,4,2.720359863093579
15,6,Có,8,Có,95,Học nhóm,2,3.1332655349404965
21,6,Không,9,Có,92,Tự học,4,3.0592976951795987
12,6,Có,4,Có,65,Tự học,3,2.2996020219719306
39,7,Có,8,Có,53,Học nhóm,1,2.830748924361262
39,6,Không,4,Không,86,Tự học,4,4.0
37,7,Có,7,Không,70,Học nhóm,1,3.622082074368965
9,6,Không,5,Có,63,Tự học,2,2.2316365633475033
32,5,Có,9,Có,80,Học nhóm,1,3.392018814574894
11,6,Không,5,Không,97,Học nhóm,2,2.912554781012514
13,7,Không,4,Có,67,Học nhóm,3,1.979316887365269
12,4,Không,9,Không,56,Học nhóm,2,1.8952462078608392
16,6,Có,5,Có,59,Tự học,2,2.6628062707733573
38,4,Không,8,Có,56,Tự học,5,2.981863519847331
37,5,Có,6,Có,82,Học nhóm,4,3.6334865746359446
27,3,Có,4,Có,72,Học nhóm,4,3.064013546137751
28,5,Có,5,Có,70,Học nhóm,3,3.0991363775945207
39,6,Có,4,Có,68,Tự học,3,3.540083781028716
26,4,Không,4,Có,97,Tự học,4,3.412992200493245
31,4,Không,9,Không,68,Tự học,5,3.3906831170476552
39,7,Có,9,Không,85,Tự học,4,3.7384762405932834
5,4,Có,6,Không,78,Học nhóm,5,1.8502198093429936
39,7,Không,8,Không,67,Học nhóm,3,3.700130879201523
18,3,Có,4,Không,51,Học nhóm,1,2.5411051865915963
7,6,Không,5,Có,50,Tự học,3,1.7874060611120761
5,7,Có,7,Có,96,Tự học,3,2.4977460444058366
9,3,Có,4,Không,54,Tự học,2,1.6013990174539035
30,4,Không,4,Có,69,Học nhóm,2,3.506686306460219
18,4,Có,6,Không,60,Học nhóm,2,2.1707309213962627
31,3,Không,8,Không,91,Tự học,2,3.7305270930478067
13,4,Có,7,Có,51,Học nhóm,5,1.5191448299961283
19,3,Có,9,Có,52,Tự học,4,2.077172330681402
19,7,Có,9,Có,72,Tự học,1,2.855752482060696
30,7,Không,5,Không,61,Học nhóm,3,2.9842714430900545
17,3,Có,7,Có,69,Tự học,5,2.3143841508470575
36,7,Có,9,Không,54,Học nhóm,1,3.602742253811729
36,7,Có,5,Không,86,Tự học,5,3.610706860302796
8,7,Có,8,Không,87,Học nhóm,5,2.0911686729418704
34,5,Không,5,Có,79,Học nhóm,3,3.6728174336576718
27,6,Không,9,Có,58,Học nhóm,4,2.847894097784928
19,4,Có,6,Không,83,Tự học,2,2.6644784369726016
33,5,Không,6,Có,93,Tự học,4,3.729480013969972
17,7,Có,6,Có,84,Học nhóm,3,2.87023454846218
36,3,Có,9,Có,71,Học nhóm,3,3.3604872993280015
11,7,Có,6,Không,93,Tự học,3,2.885141362662324
26,6,Không,7,Không,73,Tự học,1,3.1299888825934943
32,7,Không,8,Có,66,Tự học,4,3.0451152906943086
6,3,Không,5,Không,59,Học nhóm,4,1.545385635143226
10,6,Không,5,Có,79,Tự học,5,2.0831158095162934
32,7,Không,9,Có,95,Tự học,5,3.2807449826209596
32,6,Không,6,Có,72,Học nhóm,5,2.751989823481141
24,4,Không,6,Có,81,Tự học,3,3.338901012644995
34,4,Không,4,Không,66,Tự học,4,2.950607730336335
15,7,Không,8,Không,99,Tự học,3,2.7317215301087385
32,6,Có,7,Không,66,Học nhóm,1,2.889321977279257
29,3,Không,5,Có,63,Học nhóm,5,2.5822076504620997
37,7,Không,4,Có,58,Học nhóm,3,2.9453820413185
5,4,Không,4,Có,89,Học nhóm,3,2.558403032027274
31,4,Không,9,Không,51,Học nhóm,1,3.171963417868527
17,7,Không,5,Có,94,Học nhóm,2,2.8923699309644553
7,6,Không,9,Không,74,Học nhóm,4,2.380487161068862
10,4,Không,7,Không,88,Tự học,2,2.7563530973983186
12,6,Không,4,Không,58,Tự học,5,1.6950337232982755
31,4,Không,4,Không,71,Học nhóm,3,2.6701188570252854
13,4,Không,8,Không,92,Tự học,1,3.3481885145181485
37,5,Không,7,Không,95,Tự học,1,3.872085506647281
28,4,Có,4,Có,53,Học nhóm,4,2.2309202506086216
19,3,Có,7,Có,75,Tự học,2,2.954514086401928
36,7,Không,5,Không,78,Tự học,4,3.947950481267855
36,7,Không,6,Không,94,Tự học,3,4.0
28,6,Có,4,Có,83,Tự học,4,3.2727818240104725
16,4,Không,8,Không,72,Tự học,1,2.7589508683330575
6,3,Có,5,Không,86,Học nhóm,1,2.5906831117560616
7,6,Có,7,Có,60,Học nhóm,5,1.7017857179573532
21,5,Có,9,Không,55,Học nhóm,5,2.2062382847938755
6,6,Có,5,Không,67,Tự học,3,1.8608402207903754
6,6,Có,4,Không,70,Học nhóm,2,1.9874813744200956
32,4,Không,7,Có,91,Tự học,4,3.369207082226665
27,5,Có,6,Có,85,Tự học,3,3.193864984626645
36,6,Không,5,Có,90,Tự học,5,3.261408637160923
37,3,Không,4,Không,87,Tự học,4,3.67033207464105
5,3,Có,8,Không,83,Học nhóm,5,1.7122817785698166
23,7,Có,9,Có,66,Học nhóm,4,2.349282136556846
6,5,Không,7,Không,86,Tự học,2,2.3559788302306957
30,5,Có,5,Không,74,Học nhóm,3,3.4584004572689198
36,7,Có,5,Không,87,Tự học,4,3.8236633212004625
10,6,Không,6,Không,61,Học nhóm,1,1.8058998792753644
36,5,Không,6,Không,72,Học nhóm,1,3.4420743726859326
8,3,Có,8,Có,91,Tự học,4,2.5081542375976436
15,3,Không,9,Không,71,Học nhóm,4,2.073502521292338
21,4,Có,8,Có,70,Tự học,4,2.5050733700005954
28,5,Có,4,Không,76,Học nhóm,1,3.43001041980491
9,6,Có,4,Có,80,Tự học,1,2.256331109027273
38,7,Không,8,Không,55,Tự học,4,3.121075101229192
10,7,Không,9,Có,76,Học nhóm,5,1.753194901016359
26,6,Không,8,Không,89,Học nhóm,5,2.9597264712097573
15,4,Không,9,Có,83,Tự học,2,2.773956386828507
20,7,Không,9,Không,61,Học nhóm,3,2.1014012532936657
37,5,Có,7,Có,94,Học nhóm,5,3.8180949475920802
13,4,Có,9,Không,56,Tự học,1,2.1660724402146636
10,5,Có,6,Có,59,Tự học,5,1.7904979908834295
20,3,Có,9,Có,94,Học nhóm,2,3.224782826812932
33,4,Không,9,Không,66,Tự học,2,3.5428280859947687
7,7,Có,9,Không,75,Tự học,3,2.0750449005295817
24,4,Không,4,Có,70,Tự học,5,2.5141188917749497
23,4,Có,6,Không,77,Học nhóm,1,3.114459500606457
30,4,Không,6,Có,95,Học nhóm,1,3.908659605807278
7,4,Không,8,Có,51,Tự học,4,1.479772014065141
23,5,Có,7,Có,92,Học nhóm,1,3.3981183382407765
24,3,Có,9,Không,50,Tự học,3,2.259601662438649
36,6,Có,5,Có,85,Học nhóm,3,3.5674198164898105
11,4,Có,7,Có,75,Tự học,1,2.169478945640061
37,7,Không,7,Không,78,Tự học,1,4.0
22,4,Có,6,Không,70,Học nhóm,4,2.351227352921743
5,7,Có,7,Không,60,Tự học,1,1.7114189604408185
15,5,Không,9,Không,89,Học nhóm,4,2.486318546886161
32,7,Có,9,Có,60,Học nhóm,4,3.078984875388888
29,6,Có,4,Có,85,Tự học,1,3.491010064341595
27,3,Có,9,Có,98,Tự học,2,3.8595484145347467
35,7,Có,9,Có,88,Học nhóm,2,3.675301875151226
34,7,Có,6,Không,89,Tự học,4,3.635798832444761
39,3,Không,9,Có,84,Tự học,1,3.862930589348048
11,6,Có,4,Có,83,Tự học,2,2.9390298255546776
20,4,Có,5,Không,96,Tự học,1,3.082480316194097
30,7,Có,6,Có,73,Tự học,1,3.421964142045405
6,3,Có,5,Có,71,Học nhóm,1,2.2467553761864196
5,5,Có,6,Có,54,Học nhóm,5,1.4127598194902997
16,3,Không,8,Có,82,Tự học,1,2.8029424682244586
9,5,Có,7,Có,85,Tự học,5,2.124035860053315
36,6,Không,8,Có,96,Tự học,4,3.8287622943958217
13,4,Không,9,Không,69,Học nhóm,2,2.3005995996743027
39,3,Có,5,Không,68,Tự học,2,3.8027758233589823
23,7,Có,9,Có,84,Học nhóm,2,3.57210460031827
20,6,Có,7,Có,92,Học nhóm,2,3.028501642998433
7,3,Có,6,Không,66,Học nhóm,2,1.6960394040841846
24,7,Không,7,Có,94,Tự học,2,3.3623435903297487
28,3,Có,4,Có,92,Học nhóm,2,4.0
37,5,Có,7,Có,83,Tự học,4,3.4492650864060543
28,3,Có,4,Không,58,Học nhóm,1,3.2878233610888135
15,3,Có,7,Có,75,Tự học,3,2.785540162815288
12,3,Có,4,Không,51,Học nhóm,5,1.5092823516584013
24,6,Có,5,Có,58,Tự học,3,2.6737966158370554
39,3,Không,9,Không,58,Học nhóm,3,3.635679324625708
29,7,Không,9,Không,89,Tự học,1,3.5541744518025027
39,5,Có,8,Có,66,Tự học,1,3.629283927979528
29,5,Có,9,Không,50,Tự học,1,2.7336638172102714
33,3,Có,6,Có,74,Tự học,2,3.2270486538614263
22,6,Không,7,Không,92,Học nhóm,4,2.910144490986799
22,6,Có,8,Có,89,Học nhóm,2,2.9352119466475486
6,7,Không,6,Có,91,Tự học,4,2.2268166936518456
39,3,Có,6,Không,74,Học nhóm,4,3.3760053537882717
20,5,Có,4,Có,88,Tự học,3,3.0067571823581494
37,6,Có,9,Có,84,Tự học,3,3.418820870759275
8,3,Có,5,Không,52,Học nhóm,4,1.6061760464428914
37,6,Không,5,Có,99,Tự học,4,4.0
18,6,Không,8,Có,86,Tự học,2,2.521252871485709
25,5,Có,5,Không,93,Học nhóm,2,3.4848113139695145
24,4,Có,7,Không,93,Tự học,3,3.505533798494659
12,7,Không,5,Có,79,Tự học,1,2.338071796261759
11,7,Không,8,Có,87,Tự học,4,2.7245144773675407
7,5,Không,5,Không,83,Tự học,2,2.3938038018732093
21,6,Không,7,Không,61,Học nhóm,3,2.328997628848318
37,3,Có,4,Có,68,Học nhóm,2,3.4988461844684586
16,6,Không,8,Không,86,Học nhóm,4,2.7316653825043447
26,5,Có,4,Có,93,Tự học,4,3.2752010782824827
26,7,Không,4,Có,98,Tự học,5,3.3677511984892736
34,6,Không,4,Có,66,Học nhóm,1,3.235865281384127
12,7,Không,6,Có,59,Tự học,5,1.8138721648072156
31,3,Không,9,Có,98,Tự học,3,3.427257100619004
31,7,Không,6,Không,96,Tự học,2,3.7477547877302593
38,7,Có,9,Không,61,Tự học,3,3.1392184717070424
25,4,Có,4,Không,65,Học nhóm,4,2.502894011482047
34,4,Không,8,Không,73,Học nhóm,5,3.4072186350420877
37,4,Không,9,Có,68,Học nhóm,5,3.4282620241188537
32,7,Có,7,Có,57,Tự học,5,2.8618276241814358
37,5,Không,7,Có,80,Học nhóm,3,3.4315374470654847
9,7,Không,5,Có,70,Học nhóm,4,1.8867183100610398
